NAME_ALF,Acronym,size (km2)
Harbor Gateway,HAR,19.07462384858913
Palms - Mar Vista - Del Rey,PLM,31.063820714459872
Bel Air - Beverly Crest,BAR,57.29993794051086
Granada Hills - Knollwood,GHL,61.66339204317853
Mission Hills - Panorama City - North Hills,MSS,44.90544398828034
Encino - Tarzana,ENC,76.95589722166426
Brentwood - Pacific Palisades,BTW,144.04035894978716
West Adams - Baldwin Hills - Leimert,WAD,48.5033090332393
North Hollywood - Valley Village,NHL,40.25415747566907
Arleta - Pacoima,ARL,39.316779676399705
Northeast Los Angeles,NLA,92.77813207585905
Venice,VEN,11.835675927792634
Silver Lake - Echo Park - Elysian Valley,SLK,26.92720793478028
San Pedro,SPD,27.976957285472256
Reseda - West Van Nuys,RES,46.131534136167524
Sun Valley - La Tuna Canyon,SVY,62.366749023263154
Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon,SLD,97.3436470460263
Westwood,WWD,13.941604936850604
West Los Angeles,WLA,27.03810299564169
Hollywood,HWD,95.06415502500414
Canoga Park - Winnetka - Woodland Hills - West Hills,CPK,106.17917723521268
Central City North,CCN,11.950196359832182
Chatsworth - Porter Ranch,CHT,92.29098047745724
Wilmington - Harbor City,WLM,38.26707295980012
Sylmar,SYL,46.905664017529254
Wilshire,WIL,52.9795255281693
Central City,CCY,13.189886064934118
Westlake,WLK,11.48473068347614
Port of Los Angeles,PTL,41.984601719721205
Northridge,NRD,37.618671468770955
Van Nuys - North Sherman Oaks,VNY,48.802758914684695
Boyle Heights,BHT,22.609928389216027
Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,SHR,51.87121680560482
Westchester - Playa del Rey,WCH,30.810812722854582
Los Angeles International Airport,LAX,23.56797828855561
South Los Angeles,SLA,59.53346854938198
Southeast Los Angeles,SEL,57.41554259770906
