period,openedBusinesses,ratio
2020-01,10565,352.17
2020-02,3456,115.2
2020-03,2642,88.07
2020-04,1984,66.13
2020-05,1898,63.27
2020-06,2376,79.2
2020-07,2784,92.8
2020-08,2789,92.97
2020-09,2500,83.33
2020-10,2499,83.3
2020-11,1800,60.0
2020-12,1570,52.33
2021-01,8484,282.8
2021-02,2719,90.63
2021-03,2850,95.0
2021-04,2741,91.37
2021-05,2437,81.23
2021-06,2877,95.9
2021-07,2637,87.9
2021-08,2491,83.03
2021-09,2404,80.13
2021-10,2303,76.77
2021-11,1829,60.97
2021-12,1624,54.13
2022-01,7887,262.9
2022-02,2648,88.27
2022-03,2526,84.2
2022-04,2525,84.17
2022-05,2479,82.63
2022-06,2546,84.87
2022-07,2250,75.0
2022-08,2289,76.3
2022-09,2056,68.53
2022-10,2204,73.47
2022-11,1744,58.13
2022-12,1628,54.27
